University,Url
 Del Mar College Corpus Christi,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006160&trns_subj_code=&trns_subj_crse=
 Dominican College Houston,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX009&trns_subj_code=&trns_subj_crse=
 East Texas Baptist University Marshall,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006187&trns_subj_code=&trns_subj_crse=
 Eastfield College@ Mesquite,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006201&trns_subj_code=&trns_subj_crse=
 El Centro College@ Dallas,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006199&trns_subj_code=&trns_subj_crse=
 El Paso Community College El Paso,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006203&trns_subj_code=&trns_subj_crse=
 Fashion & Art Inst Of Dallas Dallas,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX011&trns_subj_code=&trns_subj_crse=
 Frank Phillips College Borger,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006222&trns_subj_code=&trns_subj_crse=
 Galveston College Galveston,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006255&trns_subj_code=&trns_subj_crse=
 Grayson County College Denison,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006254&trns_subj_code=&trns_subj_crse=
 Hallmark University San Antonio,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=002307&trns_subj_code=&trns_subj_crse=
 Hardin-Simmons University Abilene,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006268&trns_subj_code=&trns_subj_crse=
 High Tech Institute Irving,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX033&trns_subj_code=&trns_subj_crse=
 Hill College Hillsboro,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006285&trns_subj_code=&trns_subj_crse=
 Houston Baptist University Houston,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006282&trns_subj_code=&trns_subj_crse=
 Houston Community College Houston,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=000929&trns_subj_code=&trns_subj_crse=
 Howard College Big Spring,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006277&trns_subj_code=&trns_subj_crse=
 Howard Payne University Brownwood,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006278&trns_subj_code=&trns_subj_crse=
 Huston-Tillotson College Austin,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006280&trns_subj_code=&trns_subj_crse=
 ITT Tech Institute-San Antonio San Antonio,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=002328&trns_subj_code=&trns_subj_crse=
 ITT Technical Institute-Austin Austin,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX034&trns_subj_code=&trns_subj_crse=
 Itt Technical Inst-Richardson Richardson,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=002747&trns_subj_code=&trns_subj_crse=
 Jacksonville College Jacksonville,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006317&trns_subj_code=&trns_subj_crse=
 Jarvis Christian College Hawkins,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006319&trns_subj_code=&trns_subj_crse=
 Kd Studo-Actor's Conservatory Dallas,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX012&trns_subj_code=&trns_subj_crse=
 Kilgore College Kilgore,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006341&trns_subj_code=&trns_subj_crse=
 Lamar Institute Of Technology Beaumont,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=004239&trns_subj_code=&trns_subj_crse=
 Lamar St College-Orange Orange,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=001694&trns_subj_code=&trns_subj_crse=
 Lamar St College-Port Arthur Port Arthur,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006589&trns_subj_code=&trns_subj_crse=
 Lamar University Beaumont,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006360&trns_subj_code=&trns_subj_crse=
 Laredo Community College Laredo,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006362&trns_subj_code=&trns_subj_crse=
 Le Chef College Of Hospitality Austin,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX013&trns_subj_code=&trns_subj_crse=
 Lee College Baytown,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006363&trns_subj_code=&trns_subj_crse=
 Letourneau University Longview,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006365&trns_subj_code=&trns_subj_crse=
